Year;Author;Title;ID;ID_2;Exp_ID;Treatment_ID;ES_ID;Comparison;Type_of_study;Study_Design;Kind_of_Medical_Field;Medical_Field;LLM_Model;Accessed_model;Model_version;Timestamp_of_model;Test_Data;Recruitment_Country;Recruitment_Context_of_Physicians;Average_Length_of_Patient_Cases_Mean_Words;Average_Length_of_Patient_Cases_SD_Words;Case_setting;Task_Format;Patient_history;Input_Form_Patient_Information_in_LLM;Follow_Up_Prompts_Allowed;Average_Number_of_Prompts_Mean;Average_Number_of_Prompts_SD;Division_of_Labor;Explanation_Format_of_LLM;Composite_score;Sample_Size;Note;Time_lag_sessions;Type_of_Results;Measure_type;N_total;M_control;n_control_case;n_control_physician;n_control;SE_control;SD_control;95CI_lower_control;95CI_upper_control;M_treatment;n_treatment_case;n_treatment_physician;n_treatment;SE_treatment;SD_treatment;95CI_lower_treatment;95CI_upper_treatment;Performance_Difference;95CI_lower_performance_diff;95CI_upper_performance_diff;Performance_difference_p_value;Odds_Ratio;95CI_lower_odds_ratio;95CI_upper_odds_ratio;Career_stage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Cesur et al.;Empowering Radiologists with ChatGPT-4o: Comparative Evaluation of Large Language Models and Radiologists in Cardiac Cases ;Cesur et al.;13;131;1;1311;top-1 results with text + image as input;pre-print;cross-sectional observational study;radiology;radiology;GPT-4o;ChatGPT;NA;NA;unknown;Türkiye;Hospital;NA;NA;Real-world (published) cases;differential, free text;1;text;No;NA;NA;With Human Pre-Work;differential;no;3;same physisicans evaluate cases with and without LLM Assistance;NA;top-1;Accuracy;240.00;0.59;80.00;3.00;240.00;NA;0.49;NA;NA;0.71;80.00;3.00;240.00;NA;0.45;NA;NA;0.12;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;Cesur et al.;Empowering Radiologists with ChatGPT-4o: Comparative Evaluation of Large Language Models and Radiologists in Cardiac Cases ;Cesur et al.;13;132;1;1321;top-1 results with only text input;pre-print;cross-sectional observational study;radiology;radiology;GPT-4o;ChatGPT;NA;NA;unknown;Türkiye;Hospital;NA;NA;Real-world (published) cases;differential, free text;1;text;No;NA;NA;With Human Pre-Work;differential;no;1;same physisicans evaluate cases with and without LLM Assistance;NA;top-1;Accuracy;80.00;0.49;80.00;1.00;80.00;NA;0.50;NA;NA;0.64;80.00;1.00;80.00;NA;0.48;NA;NA;0.15;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;Spitzer et al.;The effect of medical explanations from large language models on diagnostic decisions in radiology;Spitzer et al.;14;141;1;1411;"Explanation format of LLM: ""standard""";pre-print;randomized experiment (RCT?);radiology (incl. Subspecializations);radiology;GPT-4;Microsoft Azure;2024-384 02-15-preview;NA;unknown;United States;Hospital (recruited via MSI-ACI);55.4;18.8;Real-world (published) cases;free text;1;multimodal (text + image);No;NA;NA;Direct access to LLM;standard;no;101;NA;NA;top-1;Accuracy;2020.00;0.62;20.00;24.00;480.00;0.02;NA;NA;NA;0.67;20.00;24.00;480.00;0.03;NA;NA;NA;0.05;-0.02;0.12;0.15;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;Spitzer et al.;The effect of medical explanations from large language models on diagnostic decisions in radiology;Spitzer et al.;14;142;1;1421;"Explanation format of LLM: ""differential"" (top-1 result)";pre-print;randomized experiment (RCT?);radiology (incl. Subspecializations);radiology;GPT-4;Microsoft Azure;2024-384 02-15-preview;NA;unknown;United States;Hospital (recruited via MSI-ACI);55.4;18.8;Real-world (published) cases;differential;1;multimodal (text + image);No;NA;NA;Direct access to LLM;differential;no;101;NA;NA;top-1;Accuracy;NA;0.62;20.00;24.00;480.00;0.02;NA;NA;NA;0.64;20.00;30.00;600.00;0.03;NA;NA;NA;0.03;-0.04;0.09;0.45;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;Spitzer et al.;The effect of medical explanations from large language models on diagnostic decisions in radiology;Spitzer et al.;14;143;1;1431;"Explanation format of LLM: ""CoT""";pre-print;randomized experiment (RCT?);radiology (incl. Subspecializations);radiology;GPT-4;Microsoft Azure;2024-384 02-15-preview;NA;unknown;United States;Hospital (recruited via MSI-ACI);55.4;18.8;Real-world (published) cases;free text;1;multimodal (text + image);No;NA;NA;Direct access to LLM;CoT;no;101;NA;NA;top-1;Accuracy;NA;0.62;20.00;24.00;480.00;0.02;NA;NA;NA;0.74;20.00;23.00;460.00;0.04;NA;NA;NA;0.12;NA;NA;"95% CI =
136 [5.3, 19.2], P = 0.001";NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;Qazi et al.;AI-literacy training enhances physician-LLM diagnostic collaboration in a resource-limited setting: a randomized controlled trial;Qazi et al.;15;151;1;1511;standard - hier ist der Composite Score genutzt;pre-print;RCT;general medicine;general medicine;GPT-4o;ChatGPT;NA;NA;external;Pakistan;Hospital (?);NA;NA;Adopted real-world cases;differential, free text;1;text;Yes;6.3;2.3;Direct access to LLM;differential;yes;6;different groups;NA;Scoring system;Accuracy;342.00;0.43;6.00;29.00;170.00;NA;0.23;NA;NA;0.72;6.00;29.00;172.00;NA;0.22;NA;NA;0.29;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;Qazi et al.;AI-literacy training enhances physician-LLM diagnostic collaboration in a resource-limited setting: a randomized controlled trial;Qazi et al.;15;151;2;1512;hier sind nur die Daten für Diagnostic genutzt, i.e., ein Teil des Scores;pre-print;RCT;general medicine;general medicine;GPT-4o;ChatGPT;NA;NA;external;Pakistan;Hospital (?);NA;NA;Adopted real-world cases;free text;1;text;Yes;6.3;2.3;Direct access to LLM;standard;no;6;different groups;NA;top-3;Accuracy;342.00;0.46;6.00;29.00;170.00;NA;0.47;NA;NA;0.81;6.00;29.00;172.00;NA;0.37;NA;NA;0.34;NA;NA;NA;NA;NA;NA;attending;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
